Date,Confirmed,lagconfirmed,t,t2,sin,cos
03-04-2020,,1013157,73,5329,-0.000630904,0.002664167
04-04-2020,,1018157,74,5476,-0.000639387,0.002662144
05-04-2020,,1023157,75,5625,-0.000647863,0.002660094
06-04-2020,,1028157,73,5329,-0.000630904,0.002664167
07-04-2020,,1033157,77,5929,-0.000664797,0.002655913
08-04-2020,,1038157,78,6084,-0.000673253,0.002653782
09-04-2020,,1043157,79,6241,-0.000681703,0.002651624
10-04-2020,,1048157,80,6400,-0.000690146,0.002649439
11-04-2020,,1053157,81,6561,-0.000698581,0.002647227
12-04-2020,,1058157,82,6724,-0.00070701,0.002644988
13-04-2020,,1063157,83,6889,-0.000715431,0.002642723
14-04-2020,,1068157,84,7056,-0.000723846,0.002640431
15-04-2020,,1073157,85,7225,-0.000732253,0.002638112
